City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Upernavik,GL,2023-01-28 22:25:16,72.7868,-56.1549,-1.91,95,100,11.03
91,Tasiilaq,GL,2023-01-28 22:25:17,65.6145,-37.6368,23.16,92,100,10.38
92,Alofi,NU,2023-01-28 22:25:18,-19.0595,-169.9187,82.29,78,93,5.75
93,Esperance,AU,2023-01-28 22:25:18,-33.8667,121.9,58.46,72,2,8.16
94,Sisak,HR,2023-01-28 22:23:47,45.4661,16.3783,35.58,93,97,4.14
95,Nouadhibou,MR,2023-01-28 22:25:19,20.931,-17.0347,64.38,55,75,17.27
96,Tuatapere,NZ,2023-01-28 22:25:20,-46.1333,167.6833,67.46,51,7,3.89
97,Champaign,US,2023-01-28 22:25:20,40.1334,-88.2001,50.07,77,0,16.11
98,Hun,LY,2023-01-28 22:25:24,29.1268,15.9477,48.99,30,0,3.96
99,Busselton,AU,2023-01-28 22:25:25,-33.65,115.3333,55.74,77,23,11.83
100,Klaksvik,FO,2023-01-28 22:25:25,62.2266,-6.589,47.32,91,100,33.6
101,Kapaa,US,2023-01-28 22:20:41,22.0752,-159.319,79.12,67,20,23.02
102,Kaitangata,NZ,2023-01-28 22:25:27,-46.2817,169.8464,66.09,54,17,2.3
103,Geraldton,AU,2023-01-28 22:25:27,-28.7667,114.6,64.81,77,0,9.22
104,Georgetown,MY,2023-01-28 22:21:11,5.4112,100.3354,77.95,78,20,2.3
105,Zhaotong,CN,2023-01-28 22:25:29,27.3167,103.7167,25.81,89,10,1.59
106,Bartica,GY,2023-01-28 22:25:30,6.4,-58.6167,79.12,78,38,5.95
107,Omsukchan,RU,2023-01-28 22:25:31,62.5333,155.8,-26.43,99,94,2.33
108,Kirkkonummi,FI,2023-01-28 22:25:31,60.1238,24.4385,32.11,100,73,12.59
109,Kodiak,US,2023-01-28 22:25:32,57.79,-152.4072,35.11,100,100,0.0
110,Constitucion,CL,2023-01-28 22:20:57,-35.3333,-72.4167,69.62,54,3,15.01
111,Rawson,AR,2023-01-28 22:25:37,-43.3002,-65.1023,83.57,26,1,5.17
112,Puerto Suarez,BO,2023-01-28 22:25:37,-18.95,-57.8,78.39,88,70,4.18
113,Roald,NO,2023-01-28 22:25:38,62.5833,6.1333,43.75,93,75,19.57
114,Guerrero Negro,MX,2023-01-28 22:25:38,27.9769,-114.0611,65.88,34,81,7.18
115,Cape Town,ZA,2023-01-28 22:25:09,-33.9258,18.4232,65.12,61,0,25.32
116,Vestmannaeyjar,IS,2023-01-28 22:25:39,63.4427,-20.2734,43.02,76,98,24.83
117,Torbay,CA,2023-01-28 22:25:39,47.6666,-52.7314,29.26,80,20,6.91
118,Hobart,AU,2023-01-28 22:23:14,-42.8794,147.3294,65.26,61,75,8.05
119,San Cristobal,VE,2023-01-28 22:25:40,7.7669,-72.225,69.98,52,13,1.1
120,Kavaratti,IN,2023-01-28 22:25:40,10.5669,72.642,79.48,73,6,9.71
121,Murakami,JP,2023-01-28 22:25:40,38.2333,139.4833,31.89,70,100,13.56
