City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,San Cristobal,VE,7.7669,-72.225,73.58,30,11,6.17,few clouds
134,Sereflikochisar,TR,38.9393,33.5386,31.01,71,60,6.24,broken clouds
135,Vostok,RU,46.4856,135.8833,-8.99,99,99,4.79,overcast clouds
136,Charters Towers,AU,-20.1,146.2667,73.67,88,100,7.65,overcast clouds
137,Vao,NC,-22.6667,167.4833,79.0,83,82,8.28,broken clouds
138,Hobart,AU,-42.8794,147.3294,48.06,92,74,5.75,broken clouds
139,Uige,AO,-7.6087,15.0613,75.97,78,58,2.24,broken clouds
140,Saskylakh,RU,71.9167,114.0833,-12.8,98,100,4.38,overcast clouds
141,Polis,CY,35.0367,32.4264,53.42,81,5,5.3,clear sky
142,Severo-Kurilsk,RU,50.6789,156.125,28.83,96,100,44.34,snow
143,Ayan,RU,56.45,138.1667,-11.81,81,78,9.08,broken clouds
144,Algeciras,ES,36.1333,-5.4505,56.88,67,20,16.11,few clouds
145,Srednekolymsk,RU,67.45,153.6833,-29.63,100,97,2.89,overcast clouds
146,Luderitz,NA,-26.6481,15.1594,72.43,54,25,28.72,scattered clouds
147,Geraldton,AU,-28.7667,114.6,81.01,47,28,8.05,scattered clouds
148,Port Alfred,ZA,-33.5906,26.891,74.17,85,68,1.01,broken clouds
149,Tapejara,BR,-28.0681,-52.0139,84.58,43,70,2.91,broken clouds
150,Ilulissat,GL,69.2167,-51.1,6.82,61,75,2.3,broken clouds
151,Miles City,US,46.4083,-105.8406,9.57,72,100,10.36,overcast clouds
152,Starokostyantyniv,UA,49.7576,27.2034,32.11,92,100,6.4,overcast clouds
153,San Patricio,US,28.017,-97.5169,40.87,84,100,11.41,overcast clouds
154,Contai,IN,21.7786,87.7536,68.58,29,43,7.02,scattered clouds
155,Airai,TL,-8.9266,125.4092,61.61,95,100,2.77,overcast clouds
156,Qaanaaq,GL,77.484,-69.3632,-3.26,53,1,10.47,clear sky
157,Road Town,VG,18.4167,-64.6167,82.49,74,75,8.05,broken clouds
158,Olinda,BR,-8.0089,-34.8553,85.73,62,20,10.36,few clouds
159,Mount Isa,AU,-20.7333,139.5,74.97,83,100,0.0,overcast clouds
160,Northam,GB,51.0333,-4.2167,50.4,94,100,15.19,overcast clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,62,40,5.99,scattered clouds
162,Glens Falls,US,43.3095,-73.644,30.94,62,100,8.05,overcast clouds
163,Broome,US,42.2506,-75.833,31.01,54,70,8.99,broken clouds
164,Mar Del Plata,AR,-38.0023,-57.5575,76.08,88,75,14.0,light intensity shower rain
165,Awjilah,LY,29.1081,21.2869,57.56,42,14,6.93,few clouds
166,Mbandaka,CD,0.0487,18.2603,83.97,52,66,5.03,broken clouds
167,Nome,US,64.5011,-165.4064,17.67,100,100,0.0,overcast clouds
